Datetime,ALLSKY_SFC_SW_DWN,T2M
2023-01-01 00:00:00,0.0,22.02
2023-01-01 01:00:00,0.0,21.76
2023-01-01 02:00:00,0.0,21.58
2023-01-01 03:00:00,0.0,21.36
2023-01-01 04:00:00,0.0,21.2
2023-01-01 05:00:00,48.97,21.77
2023-01-01 06:00:00,228.18,22.74
2023-01-01 07:00:00,415.98,23.73
2023-01-01 08:00:00,606.5,24.86
2023-01-01 09:00:00,786.0,25.89
2023-01-01 10:00:00,907.4,26.69
2023-01-01 11:00:00,973.17,27.33
2023-01-01 12:00:00,955.5,27.7
2023-01-01 13:00:00,876.25,27.78
2023-01-01 14:00:00,783.9,27.54
2023-01-01 15:00:00,559.75,27.03
2023-01-01 16:00:00,381.23,26.12
2023-01-01 17:00:00,158.02,25.04
2023-01-01 18:00:00,22.92,23.88
2023-01-01 19:00:00,0.0,23.06
2023-01-01 20:00:00,0.0,22.56
2023-01-01 21:00:00,0.0,22.15
2023-01-01 22:00:00,0.0,21.8
2023-01-01 23:00:00,0.0,21.5
2023-01-02 00:00:00,0.0,21.24
2023-01-02 01:00:00,0.0,21.09
2023-01-02 02:00:00,0.0,21.03
2023-01-02 03:00:00,0.0,20.88
2023-01-02 04:00:00,0.0,20.76
2023-01-02 05:00:00,67.03,21.32
2023-01-02 06:00:00,251.2,22.6
2023-01-02 07:00:00,446.55,23.88
2023-01-02 08:00:00,637.35,25.16
2023-01-02 09:00:00,758.92,26.31
2023-01-02 10:00:00,925.6,27.15
2023-01-02 11:00:00,957.38,27.69
2023-01-02 12:00:00,952.47,27.84
2023-01-02 13:00:00,868.28,27.95
2023-01-02 14:00:00,789.42,27.58
2023-01-02 15:00:00,632.47,26.99
2023-01-02 16:00:00,341.67,26.23
2023-01-02 17:00:00,142.98,25.15
2023-01-02 18:00:00,19.42,23.95
2023-01-02 19:00:00,0.0,23.11
2023-01-02 20:00:00,0.0,22.67
2023-01-02 21:00:00,0.0,22.28
